keyword,date,naver_score
달고나커피,2022-12-01,0.18351
달고나커피,2023-01-01,0.27964
달고나커피,2023-02-01,0.27587
달고나커피,2023-03-01,0.24572
달고나커피,2023-04-01,0.20017
달고나커피,2023-05-01,0.21195
달고나커피,2023-06-01,0.16217
달고나커피,2023-07-01,0.17203
달고나커피,2023-08-01,0.18492
달고나커피,2023-09-01,0.15094
달고나커피,2023-10-01,0.16061
달고나커피,2023-11-01,0.13
달고나커피,2023-12-01,0.13146
달고나커피,2024-01-01,0.17782
달고나커피,2024-02-01,0.17616
달고나커피,2024-03-01,0.1363
달고나커피,2024-04-01,0.1219
달고나커피,2024-05-01,0.11933
달고나커피,2024-06-01,0.13353
달고나커피,2024-07-01,0.1665
달고나커피,2024-08-01,0.24809
달고나커피,2024-09-01,0.18014
달고나커피,2024-10-01,0.13604
달고나커피,2024-11-01,0.09412
달고나커피,2024-12-01,0.08903
달고나커피,2025-01-01,0.14188
달고나커피,2025-02-01,0.11475
달고나커피,2025-03-01,0.1136
달고나커피,2025-04-01,0.0914
달고나커피,2025-05-01,0.08964
달고나커피,2025-06-01,0.09241
달고나커피,2025-07-01,0.08043
달고나커피,2025-08-01,0.10343
달고나커피,2025-09-01,0.06326
달고나커피,2025-10-01,0.0763
달고나커피,2025-11-01,0.05914
달고나커피,2025-12-01,0.06221
마라탕,2016-01-01,0.57525
마라탕,2016-02-01,0.57404
마라탕,2016-03-01,0.67596
마라탕,2016-04-01,0.69695
마라탕,2016-05-01,0.77336
마라탕,2016-06-01,0.83245
마라탕,2016-07-01,0.88414
마라탕,2016-08-01,0.83285
마라탕,2016-09-01,0.95138
마라탕,2016-10-01,1.00469
마라탕,2016-11-01,0.98199
마라탕,2016-12-01,0.96774
마라탕,2017-01-01,1.03614
마라탕,2017-02-01,0.99407
마라탕,2017-03-01,1.16771
마라탕,2017-04-01,1.2033
마라탕,2017-05-01,1.26073
마라탕,2017-06-01,1.28695
마라탕,2017-07-01,1.21634
마라탕,2017-08-01,1.40312
마라탕,2017-09-01,9.88409
마라탕,2017-10-01,1.81867
마라탕,2017-11-01,10.31549
마라탕,2017-12-01,2.45986
마라탕,2018-01-01,2.61881
마라탕,2018-02-01,2.16199
마라탕,2018-03-01,2.80207
마라탕,2018-04-01,2.88356
마라탕,2018-05-01,2.9354
마라탕,2018-06-01,3.03904
마라탕,2018-07-01,3.38613
마라탕,2018-08-01,4.36515
마라탕,2018-09-01,4.38584
마라탕,2018-10-01,4.92113
마라탕,2018-11-01,5.01621
마라탕,2018-12-01,4.9098
마라탕,2019-01-01,6.96106
마라탕,2019-02-01,6.22601
마라탕,2019-03-01,10.60918
마라탕,2019-04-01,19.75343
마라탕,2019-05-01,18.01887
마라탕,2019-06-01,19.48446
마라탕,2019-07-01,100.0
마라탕,2019-08-01,15.78636
마라탕,2019-09-01,14.03266
마라탕,2019-10-01,12.21812
마라탕,2019-11-01,10.79234
마라탕,2019-12-01,10.89039
마라탕,2020-01-01,13.50508
마라탕,2020-02-01,9.0009
마라탕,2020-03-01,8.52777
마라탕,2020-04-01,8.84401
마라탕,2020-05-01,9.25604
마라탕,2020-06-01,8.6383
마라탕,2020-07-01,10.26053
마라탕,2020-08-01,10.6491
마라탕,2020-09-01,9.6737
마라탕,2020-10-01,10.90464
마라탕,2020-11-01,10.29591
마라탕,2020-12-01,11.55025
마라탕,2021-01-01,12.50074
마라탕,2021-02-01,11.41994
마라탕,2021-03-01,12.63633
마라탕,2021-04-01,11.0649
마라탕,2021-05-01,11.53817
마라탕,2021-06-01,11.48266
마라탕,2021-07-01,12.61227
마라탕,2021-08-01,15.96821
마라탕,2021-09-01,14.61043
마라탕,2021-10-01,13.98369
마라탕,2021-11-01,13.6894
마라탕,2021-12-01,12.03652
마라탕,2022-01-01,12.66125
마라탕,2022-02-01,11.17351
마라탕,2022-03-01,12.20931
마라탕,2022-04-01,13.37879
마라탕,2022-05-01,14.795
마라탕,2022-06-01,16.4578
마라탕,2022-07-01,17.69528
마라탕,2022-08-01,17.96627
마라탕,2022-09-01,18.9457
마라탕,2022-10-01,20.04672
마라탕,2022-11-01,16.69884
마라탕,2022-12-01,16.48004
마라탕,2023-01-01,18.55874
마라탕,2023-02-01,15.64014
마라탕,2023-03-01,16.35628
마라탕,2023-04-01,16.97889
마라탕,2023-05-01,17.61228
마라탕,2023-06-01,15.72732
마라탕,2023-07-01,16.06545
마라탕,2023-08-01,15.63078
마라탕,2023-09-01,15.94511
마라탕,2023-10-01,14.68261
마라탕,2023-11-01,12.12994
마라탕,2023-12-01,12.96143
마라탕,2024-01-01,13.89183
마라탕,2024-02-01,13.40441
마라탕,2024-03-01,12.72245
마라탕,2024-04-01,11.67402
마라탕,2024-05-01,12.30701
마라탕,2024-06-01,12.36987
마라탕,2024-07-01,12.17383
마라탕,2024-08-01,12.41175
마라탕,2024-09-01,13.03049
마라탕,2024-10-01,11.80202
마라탕,2024-11-01,10.02688
마라탕,2024-12-01,9.79148
마라탕,2025-01-01,11.56706
마라탕,2025-02-01,10.01123
마라탕,2025-03-01,10.54768
마라탕,2025-04-01,9.76696
마라탕,2025-05-01,10.23385
마라탕,2025-06-01,9.59523
마라탕,2025-07-01,10.59212
마라탕,2025-08-01,10.95301
마라탕,2025-09-01,9.80144
마라탕,2025-10-01,11.46036
마라탕,2025-11-01,9.10383
마라탕,2025-12-01,8.86017
탕후루,2016-01-01,0.11652
탕후루,2016-02-01,0.13403
탕후루,2016-03-01,0.30325
탕후루,2016-04-01,0.14213
탕후루,2016-05-01,0.23193
탕후루,2016-06-01,0.12376
탕후루,2016-07-01,0.08093
탕후루,2016-08-01,0.07947
탕후루,2016-09-01,0.08259
탕후루,2016-10-01,0.09709
탕후루,2016-11-01,0.11974
탕후루,2016-12-01,0.23439
탕후루,2017-01-01,0.36516
탕후루,2017-02-01,0.50232
탕후루,2017-03-01,0.42319
탕후루,2017-04-01,0.27889
탕후루,2017-05-01,0.28659
탕후루,2017-06-01,0.27637
탕후루,2017-07-01,0.23137
탕후루,2017-08-01,0.20369
탕후루,2017-09-01,0.21114
탕후루,2017-10-01,0.28926
탕후루,2017-11-01,0.47342
탕후루,2017-12-01,0.63293
탕후루,2018-01-01,2.55222
탕후루,2018-02-01,2.70105
탕후루,2018-03-01,3.31511
탕후루,2018-04-01,2.07909
탕후루,2018-05-01,1.6794
탕후루,2018-06-01,0.97066
탕후루,2018-07-01,0.93125
탕후루,2018-08-01,1.96373
탕후루,2018-09-01,0.82213
탕후루,2018-10-01,1.05804
탕후루,2018-11-01,1.1272
탕후루,2018-12-01,1.90499
탕후루,2019-01-01,3.49651
탕후루,2019-02-01,9.63972
탕후루,2019-03-01,3.77812
탕후루,2019-04-01,1.95995
탕후루,2019-05-01,3.51795
탕후루,2019-06-01,1.17521
탕후루,2019-07-01,0.95219
탕후루,2019-08-01,1.04249
탕후루,2019-09-01,0.86159
탕후루,2019-10-01,1.06388
탕후루,2019-11-01,1.30945
탕후루,2019-12-01,2.04808
탕후루,2020-01-01,2.875
탕후루,2020-02-01,2.87515
탕후루,2020-03-01,4.74401
탕후루,2020-04-01,1.99695
탕후루,2020-05-01,1.28947
탕후루,2020-06-01,0.76329
탕후루,2020-07-01,0.63857
탕후루,2020-08-01,0.68392
탕후루,2020-09-01,0.63263
탕후루,2020-10-01,0.75166
탕후루,2020-11-01,0.80723
탕후루,2020-12-01,1.4757
탕후루,2021-01-01,1.39034
탕후루,2021-02-01,1.02552
탕후루,2021-03-01,1.01304
탕후루,2021-04-01,0.92889
탕후루,2021-05-01,0.73284
탕후루,2021-06-01,0.50579
탕후루,2021-07-01,0.52844
탕후루,2021-08-01,0.56342
탕후루,2021-09-01,0.68226
탕후루,2021-10-01,0.71714
탕후루,2021-11-01,0.7953
탕후루,2021-12-01,1.06227
탕후루,2022-01-01,1.12559
탕후루,2022-02-01,1.18281
탕후루,2022-03-01,1.2784
탕후루,2022-04-01,0.90563
탕후루,2022-05-01,0.91258
탕후루,2022-06-01,0.78287
탕후루,2022-07-01,0.69096
탕후루,2022-08-01,0.77215
탕후루,2022-09-01,0.83889
탕후루,2022-10-01,1.56142
탕후루,2022-11-01,2.39362
탕후루,2022-12-01,3.33529
탕후루,2023-01-01,3.92932
탕후루,2023-02-01,3.9337
탕후루,2023-03-01,5.13399
탕후루,2023-04-01,5.94963
탕후루,2023-05-01,11.44858
탕후루,2023-06-01,16.2992
탕후루,2023-07-01,26.40476
탕후루,2023-08-01,37.22736
탕후루,2023-09-01,36.21048
탕후루,2023-10-01,22.21747
탕후루,2023-11-01,12.66784
탕후루,2023-12-01,10.95572
탕후루,2024-01-01,9.659
탕후루,2024-02-01,8.99909
탕후루,2024-03-01,5.4089
탕후루,2024-04-01,4.19654
탕후루,2024-05-01,4.27053
탕후루,2024-06-01,4.36228
탕후루,2024-07-01,3.57639
탕후루,2024-08-01,3.1322
탕후루,2024-09-01,2.41617
탕후루,2024-10-01,2.02413
탕후루,2024-11-01,1.5582
탕후루,2024-12-01,1.45179
탕후루,2025-01-01,1.81555
탕후루,2025-02-01,1.6347
탕후루,2025-03-01,1.59539
탕후루,2025-04-01,1.22429
탕후루,2025-05-01,1.31474
탕후루,2025-06-01,1.26939
탕후루,2025-07-01,1.17944
탕후루,2025-08-01,1.34519
탕후루,2025-09-01,1.01495
탕후루,2025-10-01,1.12398
탕후루,2025-11-01,1.07133
탕후루,2025-12-01,1.0059
두바이초콜릿,2016-01-01,0.00067
두바이초콜릿,2016-02-01,0.00196
두바이초콜릿,2016-03-01,0.00376
두바이초콜릿,2016-04-01,0.00246
두바이초콜릿,2016-05-01,0.00213
두바이초콜릿,2016-06-01,0.00179
두바이초콜릿,2016-07-01,0.00067
두바이초콜릿,2016-08-01,0.00207
두바이초콜릿,2016-09-01,0.00145
두바이초콜릿,2016-10-01,0.00325
두바이초콜릿,2016-11-01,0.00353
두바이초콜릿,2016-12-01,0.00297
두바이초콜릿,2017-01-01,0.00853
두바이초콜릿,2017-02-01,0.01178
두바이초콜릿,2017-03-01,0.01184
두바이초콜릿,2017-04-01,0.00611
두바이초콜릿,2017-05-01,0.0046
두바이초콜릿,2017-06-01,0.0023
두바이초콜릿,2017-07-01,0.00207
두바이초콜릿,2017-08-01,0.00129
두바이초콜릿,2017-09-01,0.00123
두바이초콜릿,2017-10-01,0.0037
두바이초콜릿,2017-11-01,0.00387
두바이초콜릿,2017-12-01,0.00516
두바이초콜릿,2018-01-01,0.00684
두바이초콜릿,2018-02-01,0.00639
두바이초콜릿,2018-03-01,0.00505
두바이초콜릿,2018-04-01,0.0028
두바이초콜릿,2018-05-01,0.00084
두바이초콜릿,2018-06-01,0.00179
두바이초콜릿,2018-07-01,0.00151
두바이초콜릿,2018-08-01,0.00331
두바이초콜릿,2018-09-01,0.00129
두바이초콜릿,2018-10-01,0.00179
두바이초콜릿,2018-11-01,0.00561
두바이초콜릿,2018-12-01,0.00696
두바이초콜릿,2019-01-01,0.00611
두바이초콜릿,2019-02-01,0.00836
두바이초콜릿,2019-03-01,0.00387
두바이초콜릿,2019-04-01,0.00421
두바이초콜릿,2019-05-01,0.00286
두바이초콜릿,2019-06-01,0.00207
두바이초콜릿,2019-07-01,0.00174
두바이초콜릿,2019-08-01,0.00123
두바이초콜릿,2019-09-01,0.00297
두바이초콜릿,2019-10-01,0.00443
두바이초콜릿,2019-11-01,0.00538
두바이초콜릿,2019-12-01,0.00926
두바이초콜릿,2020-01-01,0.02032
두바이초콜릿,2020-02-01,0.01672
두바이초콜릿,2020-03-01,0.00151
두바이초콜릿,2020-05-01,0.00072
두바이초콜릿,2020-07-01,0.00067
두바이초콜릿,2020-09-01,0.00028
두바이초콜릿,2020-11-01,0.00061
두바이초콜릿,2021-01-01,0.00039
두바이초콜릿,2021-02-01,0.00033
두바이초콜릿,2021-06-01,0.00028
두바이초콜릿,2021-07-01,0.00028
두바이초콜릿,2021-08-01,0.00089
두바이초콜릿,2021-10-01,0.00213
두바이초콜릿,2021-11-01,0.006
두바이초콜릿,2021-12-01,0.00376
두바이초콜릿,2022-01-01,0.00145
두바이초콜릿,2022-02-01,0.00404
두바이초콜릿,2022-03-01,0.00185
두바이초콜릿,2022-04-01,0.00701
두바이초콜릿,2022-05-01,0.00662
두바이초콜릿,2022-06-01,0.01234
두바이초콜릿,2022-07-01,0.0147
두바이초콜릿,2022-08-01,0.00465
두바이초콜릿,2022-09-01,0.00634
두바이초콜릿,2022-10-01,0.01998
두바이초콜릿,2022-11-01,0.02767
두바이초콜릿,2022-12-01,0.02481
두바이초콜릿,2023-01-01,0.0275
두바이초콜릿,2023-02-01,0.03266
두바이초콜릿,2023-03-01,0.03081
두바이초콜릿,2023-04-01,0.02105
두바이초콜릿,2023-05-01,0.02526
두바이초콜릿,2023-06-01,0.01824
두바이초콜릿,2023-07-01,0.01886
두바이초콜릿,2023-08-01,0.01998
두바이초콜릿,2023-09-01,0.02071
두바이초콜릿,2023-10-01,0.02857
두바이초콜릿,2023-11-01,0.03542
두바이초콜릿,2023-12-01,0.03154
두바이초콜릿,2024-01-01,0.03418
두바이초콜릿,2024-02-01,0.05231
두바이초콜릿,2024-03-01,0.0847
두바이초콜릿,2024-04-01,0.06954
두바이초콜릿,2024-05-01,15.16231
두바이초콜릿,2024-06-01,50.80127
두바이초콜릿,2024-07-01,100.0
두바이초콜릿,2024-08-01,53.5887
두바이초콜릿,2024-09-01,27.38356
두바이초콜릿,2024-10-01,12.82395
두바이초콜릿,2024-11-01,8.02099
두바이초콜릿,2024-12-01,5.49295
두바이초콜릿,2025-01-01,4.64853
두바이초콜릿,2025-02-01,6.30571
두바이초콜릿,2025-03-01,3.96157
두바이초콜릿,2025-04-01,2.90744
두바이초콜릿,2025-05-01,2.88874
두바이초콜릿,2025-06-01,2.73095
두바이초콜릿,2025-07-01,2.66376
두바이초콜릿,2025-08-01,2.99517
두바이초콜릿,2025-09-01,3.11362
두바이초콜릿,2025-10-01,3.92705
두바이초콜릿,2025-11-01,4.80099
두바이초콜릿,2025-12-01,7.9982
Y2K패션,2019-12-01,0.00757
Y2K패션,2020-01-01,0.00033
Y2K패션,2020-02-01,0.00056
Y2K패션,2020-03-01,0.00078
Y2K패션,2020-04-01,0.00123
Y2K패션,2020-05-01,0.00134
Y2K패션,2020-06-01,0.00319
Y2K패션,2020-07-01,0.00061
Y2K패션,2020-08-01,0.00056
Y2K패션,2020-09-01,0.00028
Y2K패션,2020-10-01,0.00028
Y2K패션,2020-12-01,0.00039
Y2K패션,2021-01-01,0.00028
Y2K패션,2021-02-01,0.00033
Y2K패션,2021-03-01,0.00039
Y2K패션,2021-04-01,0.00072
Y2K패션,2021-05-01,0.00033
Y2K패션,2021-06-01,0.00123
Y2K패션,2021-07-01,0.0074
Y2K패션,2021-08-01,0.06489
Y2K패션,2021-09-01,0.04973
Y2K패션,2021-10-01,0.04647
Y2K패션,2021-11-01,0.05371
Y2K패션,2021-12-01,0.0513
Y2K패션,2022-01-01,0.21414
Y2K패션,2022-02-01,0.13073
Y2K패션,2022-03-01,0.25361
Y2K패션,2022-04-01,0.26921
Y2K패션,2022-05-01,0.1854
Y2K패션,2022-06-01,0.10839
Y2K패션,2022-07-01,0.13095
Y2K패션,2022-08-01,0.16245
Y2K패션,2022-09-01,0.20522
Y2K패션,2022-10-01,0.12663
Y2K패션,2022-11-01,0.11136
Y2K패션,2022-12-01,0.13763
Y2K패션,2023-01-01,0.15767
Y2K패션,2023-02-01,0.15307
Y2K패션,2023-03-01,0.19382
Y2K패션,2023-04-01,0.20752
Y2K패션,2023-05-01,0.20241
Y2K패션,2023-06-01,0.16278
Y2K패션,2023-07-01,0.12905
Y2K패션,2023-08-01,0.12355
Y2K패션,2023-09-01,0.13213
Y2K패션,2023-10-01,0.08425
Y2K패션,2023-11-01,0.08038
Y2K패션,2023-12-01,0.06764
Y2K패션,2024-01-01,0.04501
Y2K패션,2024-02-01,0.03564
Y2K패션,2024-03-01,0.05422
Y2K패션,2024-04-01,0.07572
Y2K패션,2024-05-01,0.10053
Y2K패션,2024-06-01,0.07622
Y2K패션,2024-07-01,0.08784
Y2K패션,2024-08-01,0.05781
Y2K패션,2024-09-01,0.0568
Y2K패션,2024-10-01,0.04406
Y2K패션,2024-11-01,0.03109
Y2K패션,2024-12-01,0.03716
Y2K패션,2025-01-01,0.01914
Y2K패션,2025-02-01,0.02015
Y2K패션,2025-03-01,0.02593
Y2K패션,2025-04-01,0.04204
Y2K패션,2025-05-01,0.05276
Y2K패션,2025-06-01,0.04142
Y2K패션,2025-07-01,0.02823
Y2K패션,2025-08-01,0.02671
Y2K패션,2025-09-01,0.03289
Y2K패션,2025-10-01,0.03238
Y2K패션,2025-11-01,0.03575
Y2K패션,2025-12-01,0.03149
레트로무드,2016-01-01,0.03059
레트로무드,2016-02-01,0.03659
레트로무드,2016-03-01,0.09559
레트로무드,2016-04-01,0.1506
레트로무드,2016-05-01,0.10468
레트로무드,2016-06-01,0.07375
레트로무드,2016-07-01,0.06769
레트로무드,2016-08-01,0.07179
레트로무드,2016-09-01,0.10216
레트로무드,2016-10-01,0.07331
